,sub_center_id,Months_id,Months,Scores,Clusters
3911,16616.0,50,01-Apr-2021,1.9123026925498334,0
3912,16639.0,50,01-Apr-2021,1.9273151290784514,0
3913,16643.0,50,01-Apr-2021,1.707983639309133,0
3914,16645.0,50,01-Apr-2021,1.788903355138172,2
3915,16652.0,50,01-Apr-2021,1.5515606978272747,0
3916,16654.0,50,01-Apr-2021,1.673596721937699,0
3917,16658.0,50,01-Apr-2021,2.0867578081405664,1
3918,16663.0,50,01-Apr-2021,1.6889991421630641,0
3919,16668.0,50,01-Apr-2021,1.9272646317335396,0
3920,16680.0,50,01-Apr-2021,1.7085901051713728,2
3921,16682.0,50,01-Apr-2021,1.659400625037384,0
3922,16685.0,50,01-Apr-2021,1.4788492739141545,0
3923,16687.0,50,01-Apr-2021,1.9566717359512287,1
3924,16689.0,50,01-Apr-2021,2.111273613682224,2
3925,16695.0,50,01-Apr-2021,1.64892611816872,0
3926,16698.0,50,01-Apr-2021,2.1630358332360866,2
3927,16699.0,50,01-Apr-2021,1.6906099667932062,0
3928,19070.0,50,01-Apr-2021,2.1698869640689957,1
3929,19072.0,50,01-Apr-2021,1.9540214465206276,0
3930,4722.0,51,01-May-2021,1.9272646317335396,0
3931,4731.0,51,01-May-2021,1.6343053822577656,0
3932,4749.0,51,01-May-2021,1.6490028985822573,0
3933,4808.0,51,01-May-2021,1.9251131467376705,0
3934,4810.0,51,01-May-2021,1.7533146801778872,0
3935,4815.0,51,01-May-2021,1.7149977148742295,0
3936,4832.0,51,01-May-2021,1.781604029770728,0
3937,4899.0,51,01-May-2021,1.7135846952453229,0
3938,4904.0,51,01-May-2021,1.6343053822577656,0
3939,4906.0,51,01-May-2021,1.7493235373118945,0
3940,4922.0,51,01-May-2021,1.7675967444103287,0
3941,6397.0,51,01-May-2021,2.187223778553834,1
3942,6419.0,51,01-May-2021,1.6343053822577656,0
3943,6433.0,51,01-May-2021,1.6343053822577656,0
3944,6440.0,51,01-May-2021,1.9272646317335396,0
3945,6469.0,51,01-May-2021,1.92754953524348,0
3946,6472.0,51,01-May-2021,1.6343053822577656,0
3947,6514.0,51,01-May-2021,2.1698869640689957,1
3948,11544.0,51,01-May-2021,1.9251131467376705,0
3949,11555.0,51,01-May-2021,1.8743972479324968,0
3950,11556.0,51,01-May-2021,2.0908898545007166,1
3951,11564.0,51,01-May-2021,1.6343053822577656,0
3952,11594.0,51,01-May-2021,1.824773309325504,1
3953,11620.0,51,01-May-2021,1.8328444457670507,1
3954,11630.0,51,01-May-2021,1.6343053822577656,0
3955,11631.0,51,01-May-2021,2.1314543100720225,1
